Date	Hour	Power
07-09-2017	17:00:00	7.877
07-09-2017	18:00:00	7.999
07-09-2017	19:00:00	8.217
07-09-2017	20:00:00	8.461
07-09-2017	21:00:00	7.745
07-09-2017	22:00:00	6.935
07-09-2017	23:00:00	5.891
08-09-2017	00:00:00	5.282
08-09-2017	01:00:00	4.945
08-09-2017	02:00:00	4.829
08-09-2017	03:00:00	4.773
08-09-2017	04:00:00	4.786
08-09-2017	05:00:00	4.952
08-09-2017	06:00:00	6.118
08-09-2017	07:00:00	6.866
08-09-2017	08:00:00	6.741
08-09-2017	09:00:00	6.643
08-09-2017	10:00:00	6.594
08-09-2017	11:00:00	6.556
08-09-2017	12:00:00	6.721
08-09-2017	13:00:00	6.544
08-09-2017	14:00:00	6.563
08-09-2017	15:00:00	6.779
08-09-2017	16:00:00	7.109
08-09-2017	17:00:00	7.913
08-09-2017	18:00:00	8.021
08-09-2017	19:00:00	7.965
08-09-2017	20:00:00	8.016
08-09-2017	21:00:00	7.342
08-09-2017	22:00:00	6.758
08-09-2017	23:00:00	6.013
09-09-2017	00:00:00	5.461
09-09-2017	01:00:00	5.076
09-09-2017	02:00:00	4.802
09-09-2017	03:00:00	4.723
09-09-2017	04:00:00	4.649
09-09-2017	05:00:00	4.708
09-09-2017	06:00:00	4.698
09-09-2017	07:00:00	5.026
09-09-2017	08:00:00	6.009
09-09-2017	09:00:00	6.595
09-09-2017	10:00:00	6.874
09-09-2017	11:00:00	6.861
